item_type,item_age_years,item_condition,triage_action,user_age,app_sessions_per_month,distance_to_dropoff_km,points_redeemed_history,items_recycled_count
Tablet,6.9,Good,Recycle,19,8,13.0,3773,0
Peripherals,8.5,Fair,Recycle,39,7,13.5,3647,1
Tablet,5.2,Dead,Recycle,32,5,8.6,7909,1
Tablet,2.1,Dead,Recycle,54,29,10.4,2866,6
Monitor,8.2,Broken,Recycle,56,19,10.6,686,3
Laptop,6.5,Dead,Recycle,53,3,7.2,2067,2
Monitor,7.9,Good,Recycle,22,13,6.8,5907,6
Monitor,4.4,Fair,Refurbish,32,6,3.2,447,3
Smartphone,10.9,Fair,Recycle,44,26,6.1,9958,8
Monitor,7.3,Fair,Recycle,33,11,14.9,9316,0
Peripherals,1.5,Fair,Refurbish,53,4,4.4,293,2
Peripherals,5.7,Fair,Refurbish,55,3,11.6,4160,2
Smartphone,9.2,Dead,Recycle,35,4,1.4,2546,4
Laptop,9.6,Broken,Recycle,52,3,7.3,8267,2
Laptop,6.2,Fair,Recycle,42,13,1.3,7044,2
Monitor,10.8,Broken,Recycle,39,15,7.4,3775,3
Monitor,3.6,Good,Refurbish,48,12,0.9,9491,4
Monitor,5.2,Good,Refurbish,54,15,9.4,4178,3
Laptop,10.8,Fair,Refurbish,51,26,9.0,3534,5
Tablet,10.8,Fair,Recycle,40,11,12.1,2053,3
Peripherals,8.4,Excellent,Recycle,33,11,9.0,7112,4
Tablet,10.4,Broken,Recycle,23,13,13.9,1699,0
Tablet,1.5,Fair,Recycle,32,12,11.9,2518,4
Laptop,10.4,Fair,Recycle,35,6,2.4,9929,3
Tablet,4.2,Excellent,Refurbish,55,29,4.3,5568,11
Smartphone,2.6,Good,Refurbish,30,23,0.9,6832,9
Monitor,3.3,Dead,Recycle,41,20,6.1,8561,6
Smartphone,5.3,Fair,Refurbish,30,19,7.9,3739,5
Peripherals,3.4,Dead,Recycle,18,19,14.2,4373,4
Monitor,4.2,Dead,Recycle,53,27,8.1,339,10
Tablet,2.1,Fair,Refurbish,35,3,11.8,2862,0
Peripherals,3.9,Good,Recycle,50,16,4.4,613,4
Monitor,7.1,Dead,Recycle,55,9,2.7,1103,4
Tablet,5.6,Dead,Recycle,60,27,12.3,8984,7
Smartphone,4.5,Fair,Refurbish,23,27,4.1,6746,8
Monitor,9.1,Broken,Recycle,34,14,13.1,8258,1
Tablet,10.8,Broken,Recycle,21,28,3.0,4511,11
Smartphone,9.2,Fair,Recycle,31,3,12.8,7312,0
Peripherals,4.3,Fair,Refurbish,47,3,11.7,5405,0
Peripherals,9.1,Broken,Refurbish,63,24,9.4,570,7
Peripherals,2.2,Broken,Recycle,37,20,12.8,8731,4
Peripherals,2.0,Excellent,Refurbish,25,7,5.3,5356,2
Laptop,4.5,Good,Refurbish,19,19,2.9,116,6
Monitor,9.8,Good,Recycle,54,24,2.8,7224,4
Monitor,3.3,Good,Refurbish,21,3,4.4,3031,2
Laptop,1.2,Dead,Recycle,27,21,7.0,3456,6
Tablet,2.0,Excellent,Refurbish,37,1,13.2,3051,0
Tablet,10.4,Good,Recycle,52,12,1.8,9826,1
Peripherals,7.8,Good,Recycle,27,21,13.8,8433,3
Smartphone,3.4,Fair,Refurbish,45,6,13.9,8656,2
Tablet,6.9,Fair,Recycle,32,7,11.0,7807,1
Smartphone,6.6,Good,Recycle,53,2,13.6,7302,0
Monitor,8.0,Good,Refurbish,18,18,11.7,1878,4
Smartphone,3.2,Good,Refurbish,39,25,8.2,4881,5
Monitor,10.4,Fair,Recycle,44,15,9.2,4636,3
Laptop,4.1,Good,Refurbish,46,15,9.6,2534,4
Laptop,8.5,Dead,Recycle,32,10,2.3,3809,4
Peripherals,0.7,Fair,Refurbish,27,17,3.3,8763,7
Tablet,4.8,Excellent,Refurbish,37,18,8.1,5605,5
Peripherals,4.5,Broken,Recycle,39,18,2.2,7733,7
Monitor,6.8,Good,Recycle,26,29,14.5,3641,6
Peripherals,1.3,Broken,Recycle,49,15,7.9,656,3
Smartphone,9.6,Good,Recycle,34,26,6.0,3151,8
Monitor,3.0,Fair,Refurbish,59,23,2.8,9140,9
Laptop,8.3,Broken,Recycle,36,6,6.5,4110,3
Tablet,9.7,Dead,Recycle,57,9,4.9,7207,2
Monitor,7.0,Good,Recycle,44,11,1.8,306,4
Monitor,9.0,Good,Recycle,54,15,14.5,8896,1
Smartphone,8.1,Fair,Recycle,51,23,4.3,4492,9
Tablet,4.6,Dead,Recycle,64,3,10.5,8869,2
Laptop,9.8,Dead,Recycle,27,19,1.8,8402,7
Monitor,3.9,Excellent,Recycle,47,1,13.7,4494,0
Monitor,7.1,Good,Recycle,38,24,9.1,1396,7
Smartphone,9.1,Fair,Recycle,38,17,10.0,3460,7
Peripherals,4.9,Good,Recycle,51,11,11.8,4353,0
Laptop,4.0,Good,Refurbish,26,18,9.3,2162,6
Tablet,5.8,Good,Refurbish,51,11,1.5,7676,4
Monitor,9.9,Fair,Recycle,29,28,6.7,4544,10
Monitor,11.2,Dead,Refurbish,64,7,4.3,3148,1
Laptop,6.8,Dead,Refurbish,38,1,7.6,827,0
Peripherals,8.1,Fair,Recycle,37,12,6.4,2655,1
Monitor,10.9,Fair,Recycle,23,4,12.5,6711,0
Laptop,1.6,Dead,Recycle,62,25,4.1,8691,9
Smartphone,3.2,Good,Refurbish,53,8,3.4,9253,3
Peripherals,8.7,Broken,Recycle,29,15,14.4,7864,2
Tablet,10.0,Fair,Refurbish,58,11,14.3,7525,1
Monitor,10.4,Good,Refurbish,48,29,14.9,5170,6
Laptop,5.3,Fair,Refurbish,19,8,8.7,3496,3
Smartphone,1.5,Excellent,Refurbish,33,12,2.1,6094,2
Tablet,5.5,Broken,Recycle,18,3,13.3,4222,0
Laptop,3.2,Good,Refurbish,21,21,2.6,9318,5
Laptop,3.8,Good,Refurbish,64,4,2.8,1989,1
Tablet,9.4,Good,Recycle,18,27,3.3,6579,8
Smartphone,1.4,Dead,Recycle,64,12,10.0,5504,6
Smartphone,10.0,Fair,Recycle,52,8,2.1,4180,2
Peripherals,5.4,Fair,Refurbish,30,27,11.8,1382,8
Monitor,7.4,Fair,Recycle,62,23,1.3,4167,5
Tablet,1.5,Fair,Refurbish,59,23,2.1,3166,8
Tablet,4.4,Good,Recycle,48,10,6.8,2635,3
Tablet,1.5,Broken,Recycle,37,26,6.0,5545,9
Smartphone,11.6,Good,Recycle,24,23,14.9,9221,4
Monitor,9.8,Good,Recycle,57,1,14.5,5209,0
Peripherals,5.8,Broken,Recycle,50,13,3.3,9810,1
Laptop,3.1,Good,Recycle,45,7,14.2,9427,1
Laptop,11.2,Good,Recycle,61,20,10.5,5382,4
Tablet,4.5,Fair,Refurbish,61,28,6.4,3983,10
Monitor,2.4,Fair,Refurbish,37,3,11.2,1405,0
Smartphone,7.0,Broken,Refurbish,49,29,13.6,7737,9
Monitor,11.4,Fair,Recycle,26,16,3.1,6200,4
Monitor,0.5,Fair,Refurbish,51,12,3.3,5742,4
Smartphone,3.2,Broken,Recycle,31,29,6.4,6711,9
Tablet,11.3,Good,Recycle,21,5,3.0,9739,1
Monitor,2.5,Good,Refurbish,46,18,5.7,1884,7
Laptop,1.8,Fair,Refurbish,32,8,9.9,5172,3
Smartphone,7.1,Good,Recycle,34,12,12.3,2184,5
Peripherals,10.4,Dead,Refurbish,36,28,4.9,6317,9
Tablet,6.0,Broken,Recycle,55,25,4.6,7003,10
Smartphone,11.9,Good,Recycle,26,21,11.8,8410,8
Peripherals,8.3,Excellent,Recycle,44,3,6.0,7430,0
Peripherals,1.4,Excellent,Recycle,32,16,12.4,4350,1
Monitor,11.9,Good,Recycle,54,10,14.9,9003,4
Monitor,5.2,Good,Recycle,45,23,14.7,8461,6
Monitor,3.8,Fair,Refurbish,21,17,10.1,6367,5
Smartphone,6.9,Dead,Recycle,38,10,5.9,4699,2
Smartphone,4.0,Broken,Recycle,51,3,1.4,9378,2
Tablet,1.5,Good,Refurbish,36,25,11.2,1733,8
Monitor,0.5,Fair,Refurbish,54,2,14.7,2967,0
Peripherals,5.7,Fair,Refurbish,21,27,1.5,72,8
Laptop,10.1,Broken,Recycle,54,14,0.6,4993,7
Tablet,7.1,Broken,Recycle,49,9,12.6,6117,1
Smartphone,12.0,Dead,Recycle,62,27,2.0,7885,10
Tablet,3.8,Fair,Refurbish,29,17,1.7,5042,7
Tablet,3.7,Broken,Recycle,58,4,13.7,8061,3
Tablet,2.3,Good,Refurbish,33,28,1.7,630,10
Tablet,2.4,Fair,Recycle,31,26,2.2,5603,8
Laptop,3.8,Good,Refurbish,18,29,8.8,877,11
Monitor,9.6,Fair,Recycle,49,22,11.5,8948,7
Peripherals,10.9,Fair,Recycle,38,15,6.3,4293,5
Tablet,11.7,Good,Recycle,21,13,6.6,9642,4
Tablet,3.2,Excellent,Refurbish,26,23,9.7,2540,3
Tablet,10.6,Excellent,Recycle,63,19,7.8,81,5
Monitor,4.3,Excellent,Refurbish,39,9,0.8,1331,1
Smartphone,1.8,Excellent,Refurbish,29,4,2.1,9914,0
Smartphone,10.5,Good,Recycle,47,21,8.9,7955,5
Laptop,7.8,Good,Recycle,47,8,12.0,356,0
Smartphone,2.4,Good,Refurbish,49,28,11.6,9511,7
Tablet,5.4,Dead,Recycle,53,15,11.2,579,4
Tablet,3.8,Good,Refurbish,24,14,11.7,645,4
Tablet,9.0,Good,Recycle,34,3,1.1,6263,2
Laptop,5.7,Fair,Refurbish,18,24,13.5,8499,4
Tablet,11.9,Dead,Recycle,31,27,13.4,233,6
Smartphone,1.1,Broken,Recycle,64,17,8.2,1034,3
Monitor,4.6,Good,Refurbish,61,8,4.1,6017,5
Monitor,6.0,Fair,Refurbish,61,14,9.1,5121,3
Peripherals,6.3,Broken,Recycle,55,13,8.6,1735,1
Smartphone,4.1,Broken,Recycle,43,15,3.7,4277,3
Tablet,8.9,Broken,Recycle,44,11,9.2,941,2
Monitor,10.6,Dead,Recycle,62,27,12.1,349,7
Smartphone,11.3,Dead,Recycle,33,15,12.2,1405,3
Monitor,9.8,Fair,Recycle,63,12,1.4,7464,6
Tablet,10.3,Fair,Recycle,24,26,3.4,1545,7
Monitor,6.8,Fair,Refurbish,49,24,10.2,4320,8
Peripherals,10.0,Broken,Recycle,42,22,13.0,9943,5
Peripherals,4.0,Excellent,Recycle,48,21,8.1,1746,7
Monitor,5.1,Dead,Refurbish,33,9,10.8,7896,1
Smartphone,4.1,Good,Refurbish,58,22,0.8,1354,9
Smartphone,5.9,Fair,Refurbish,31,15,9.3,7330,2
Smartphone,3.8,Dead,Recycle,42,1,14.4,4288,1
Monitor,11.6,Good,Recycle,47,12,10.1,9360,2
Smartphone,4.1,Fair,Recycle,24,6,13.9,4766,0
Tablet,1.6,Good,Recycle,29,1,8.7,5957,0
Peripherals,6.6,Fair,Refurbish,20,22,12.7,6835,5
Tablet,1.2,Good,Refurbish,44,19,2.3,2585,6
Smartphone,1.8,Fair,Refurbish,63,22,2.3,4707,5
Tablet,3.0,Fair,Refurbish,36,13,2.2,900,3
Smartphone,5.8,Dead,Recycle,60,6,7.6,3341,0
Monitor,5.5,Dead,Recycle,54,17,5.3,7694,3
Tablet,9.7,Good,Refurbish,62,13,10.9,127,3
Monitor,9.0,Broken,Recycle,59,9,13.6,1675,2
Monitor,5.4,Excellent,Refurbish,24,8,9.5,1777,1
Laptop,4.3,Excellent,Refurbish,33,15,3.6,5165,5
Smartphone,4.1,Good,Recycle,49,18,14.0,8425,2
Peripherals,9.4,Dead,Recycle,25,2,8.2,583,1
Smartphone,1.1,Dead,Recycle,30,21,10.9,1466,5
Peripherals,0.6,Good,Refurbish,28,26,13.4,8694,6
Smartphone,9.6,Good,Recycle,37,2,14.9,6750,0
Monitor,6.0,Good,Refurbish,35,11,7.8,1155,2
Tablet,2.0,Fair,Recycle,54,1,12.2,9691,0
Tablet,3.2,Fair,Refurbish,23,18,8.7,7960,3
Laptop,11.2,Good,Recycle,37,21,7.6,935,4
Peripherals,10.4,Broken,Recycle,49,27,8.3,355,7
Peripherals,8.7,Good,Recycle,63,26,7.5,1994,8
Peripherals,6.0,Dead,Recycle,61,7,6.6,5156,4
Monitor,6.5,Broken,Recycle,46,21,11.0,6281,4
Peripherals,11.7,Fair,Recycle,21,17,4.1,9637,5
Tablet,11.6,Broken,Recycle,24,16,9.4,7409,7
Monitor,3.0,Broken,Recycle,60,7,10.8,5364,0
Smartphone,9.8,Good,Recycle,37,22,13.4,3974,4
Peripherals,2.8,Good,Refurbish,51,7,5.3,2504,2
Peripherals,3.0,Dead,Recycle,53,2,13.0,2146,0
Smartphone,8.3,Good,Recycle,24,5,14.2,7669,0
Peripherals,5.2,Excellent,Refurbish,50,14,9.9,7304,1
Smartphone,11.2,Fair,Recycle,32,8,11.7,1210,3
Monitor,1.5,Broken,Recycle,49,29,6.4,6179,9
Tablet,6.4,Broken,Recycle,39,12,14.3,8821,4
Smartphone,11.1,Dead,Recycle,57,7,10.2,4882,2
Laptop,10.9,Fair,Recycle,46,6,5.0,6824,2
Smartphone,2.3,Good,Recycle,42,13,6.4,6198,1
Peripherals,4.7,Fair,Refurbish,22,22,9.5,9686,4
Monitor,7.6,Broken,Recycle,31,12,3.9,1107,3
Monitor,2.3,Excellent,Recycle,52,17,11.4,4986,2
Smartphone,11.6,Good,Recycle,19,16,3.8,3434,2
Tablet,11.0,Excellent,Refurbish,42,1,9.1,8023,0
Laptop,2.4,Fair,Refurbish,33,7,10.6,2815,1
Monitor,1.9,Dead,Recycle,63,3,13.0,7061,2
Peripherals,1.5,Broken,Recycle,33,6,11.1,2035,0
Peripherals,11.0,Dead,Recycle,28,28,12.1,6807,8
Tablet,2.7,Excellent,Refurbish,52,21,13.7,6973,3
Monitor,5.3,Dead,Recycle,40,3,9.2,169,0
Smartphone,5.7,Broken,Recycle,22,22,12.8,8823,5
Peripherals,7.4,Good,Recycle,52,3,3.9,8996,4
Tablet,1.3,Dead,Recycle,46,8,12.3,5015,0
Monitor,3.1,Good,Refurbish,64,14,3.7,6897,3
Monitor,11.2,Dead,Recycle,22,23,14.1,3034,5
Monitor,10.9,Dead,Recycle,20,9,5.3,4480,3
Monitor,9.5,Broken,Refurbish,23,5,3.0,3412,0
Monitor,0.7,Fair,Refurbish,40,28,2.6,4988,9
Peripherals,4.3,Good,Refurbish,63,15,3.2,7130,5
Tablet,7.7,Fair,Recycle,19,17,7.0,3869,7
Monitor,3.7,Fair,Recycle,35,27,8.1,6099,8
Laptop,11.0,Broken,Recycle,47,10,13.7,791,1
Laptop,7.8,Broken,Recycle,55,27,6.0,3841,7
Tablet,1.3,Dead,Recycle,22,8,3.7,3356,4
Smartphone,11.0,Excellent,Recycle,63,18,11.3,7522,4
Smartphone,11.5,Broken,Recycle,28,6,2.5,4925,1
Smartphone,1.4,Dead,Recycle,18,17,13.4,5074,2
Laptop,6.6,Broken,Recycle,27,22,6.4,6700,6
Smartphone,4.0,Good,Refurbish,58,4,9.4,2094,1
Peripherals,5.0,Excellent,Refurbish,61,21,3.2,6250,6
Monitor,2.6,Excellent,Refurbish,43,15,2.6,8807,5
Laptop,7.1,Fair,Recycle,50,10,12.1,5252,1
Tablet,11.5,Fair,Recycle,44,23,6.7,7003,7
Tablet,6.3,Dead,Recycle,29,13,14.8,4296,2
Monitor,1.5,Fair,Refurbish,19,22,8.1,2301,5
Laptop,7.6,Good,Recycle,18,1,12.8,5269,0
Smartphone,4.4,Fair,Refurbish,18,25,14.7,9764,3
Smartphone,10.3,Broken,Recycle,50,22,4.6,504,8
Peripherals,5.5,Dead,Recycle,39,22,12.1,1945,6
Peripherals,2.7,Broken,Recycle,29,9,0.8,1861,4
Smartphone,2.7,Fair,Refurbish,56,28,10.4,3722,5
Tablet,9.3,Fair,Recycle,53,26,11.3,3683,6
Tablet,3.6,Dead,Recycle,38,5,7.4,403,3
Peripherals,9.3,Fair,Recycle,37,11,2.9,4331,4
Monitor,2.9,Good,Refurbish,53,22,9.4,9811,6
Smartphone,4.2,Good,Refurbish,43,22,13.5,2906,3
Peripherals,5.9,Excellent,Refurbish,64,23,14.0,4728,3
Peripherals,11.3,Broken,Recycle,48,25,11.3,7709,7
Smartphone,11.2,Good,Recycle,18,21,4.3,1569,5
Smartphone,2.9,Good,Refurbish,55,21,13.1,139,4
Tablet,4.6,Good,Refurbish,31,4,13.4,4683,0
Monitor,2.2,Fair,Refurbish,43,26,5.8,6730,9
Monitor,6.4,Fair,Recycle,63,20,3.2,5062,7
Smartphone,5.8,Broken,Recycle,59,16,13.2,4665,3
Laptop,10.9,Excellent,Recycle,24,28,13.3,2172,8
Peripherals,11.2,Good,Recycle,29,24,2.0,6079,9
Peripherals,4.9,Fair,Refurbish,41,29,14.5,3420,7
Smartphone,6.2,Good,Recycle,36,18,8.2,6277,7
Laptop,10.8,Good,Recycle,26,26,14.9,1249,4
Tablet,9.8,Excellent,Recycle,52,8,7.0,6064,0
Smartphone,0.5,Dead,Recycle,21,2,8.2,2697,2
Smartphone,4.2,Broken,Refurbish,62,17,4.4,2753,4
Peripherals,5.4,Good,Refurbish,59,10,13.5,4934,0
Smartphone,3.1,Excellent,Refurbish,49,13,6.9,6465,3
Smartphone,2.8,Dead,Recycle,63,15,12.3,3884,5
Smartphone,0.9,Broken,Recycle,23,9,1.7,7254,3
Peripherals,7.9,Fair,Recycle,45,27,11.9,94,4
Tablet,3.5,Broken,Recycle,45,8,7.6,4291,1
Tablet,1.1,Broken,Refurbish,57,6,0.6,5780,2
Smartphone,3.2,Broken,Recycle,46,4,3.8,5083,1
Peripherals,9.7,Fair,Recycle,59,18,3.3,9867,5
Tablet,10.3,Fair,Recycle,22,24,11.4,8204,5
Tablet,6.1,Excellent,Recycle,22,3,7.4,2301,2
Tablet,5.3,Dead,Refurbish,54,26,2.8,4083,7
Peripherals,11.7,Fair,Recycle,58,4,4.2,6119,2
Peripherals,2.8,Good,Refurbish,45,21,7.8,6224,6
Smartphone,3.0,Dead,Recycle,58,13,0.8,372,4
Monitor,3.9,Dead,Recycle,64,20,6.6,4489,5
Tablet,2.5,Dead,Recycle,26,11,10.3,5851,2
Monitor,4.9,Dead,Recycle,46,8,8.0,6028,0
Peripherals,11.0,Dead,Recycle,31,25,9.2,8609,10
Peripherals,7.6,Good,Refurbish,55,14,5.2,816,3
Peripherals,5.2,Broken,Recycle,57,14,3.2,9995,4
Monitor,11.2,Broken,Recycle,51,16,12.2,3612,4
Peripherals,1.1,Good,Recycle,54,14,13.6,7747,2
Smartphone,2.9,Excellent,Refurbish,59,1,7.9,6350,0
Peripherals,7.0,Dead,Recycle,31,2,4.9,7439,0
Laptop,7.6,Good,Recycle,35,28,7.9,1332,8
Monitor,1.0,Dead,Refurbish,50,20,13.2,6361,4
Laptop,5.1,Excellent,Recycle,51,1,10.5,755,2
Peripherals,8.0,Excellent,Recycle,45,11,12.9,3525,1
Smartphone,8.5,Fair,Recycle,53,6,5.3,1796,0
Tablet,7.8,Good,Recycle,62,15,10.8,3059,5
Peripherals,4.2,Broken,Recycle,54,12,10.0,2177,1
Smartphone,1.6,Fair,Refurbish,40,5,8.8,2050,1
Monitor,5.4,Excellent,Recycle,59,29,8.2,1989,10
Laptop,2.0,Good,Recycle,34,23,8.5,7518,6
Laptop,11.4,Fair,Recycle,28,12,12.8,8746,2
Laptop,6.0,Good,Refurbish,49,22,13.8,5809,6
Monitor,4.1,Broken,Recycle,54,14,2.1,5613,7
Smartphone,9.3,Fair,Recycle,32,14,8.7,8457,3
Monitor,6.2,Excellent,Recycle,21,19,13.8,9114,7
Laptop,4.1,Fair,Refurbish,56,5,2.5,8725,0
Peripherals,9.8,Excellent,Recycle,47,3,6.5,5976,0
Tablet,10.5,Good,Recycle,27,25,1.8,1693,7
Monitor,8.2,Good,Recycle,40,18,2.1,2051,8
Monitor,1.0,Dead,Recycle,41,6,13.6,2920,0
Smartphone,7.0,Dead,Recycle,53,9,7.0,4845,1
Smartphone,9.3,Broken,Recycle,22,26,10.5,4167,5
Monitor,2.1,Good,Refurbish,54,7,2.5,6231,0
Laptop,3.1,Good,Refurbish,60,21,0.8,4623,8
Tablet,10.6,Fair,Recycle,36,18,13.4,9077,3
Smartphone,0.7,Broken,Recycle,54,2,8.8,6746,1
Laptop,9.2,Dead,Refurbish,25,20,0.8,6139,5
Peripherals,5.9,Good,Recycle,24,10,14.9,1458,2
Smartphone,5.6,Excellent,Refurbish,57,12,7.6,3795,3
Laptop,0.6,Broken,Refurbish,30,2,7.4,3410,0
Laptop,9.9,Broken,Refurbish,54,28,9.5,4024,7
Tablet,4.6,Broken,Recycle,44,13,0.6,6269,5
Tablet,6.7,Broken,Recycle,35,29,8.8,562,8
Peripherals,8.3,Dead,Recycle,41,8,9.6,6092,0
Laptop,8.6,Fair,Recycle,58,26,4.8,6992,9
Laptop,11.5,Dead,Refurbish,19,23,11.0,7008,8
Tablet,6.6,Dead,Recycle,33,7,6.0,7796,2
Smartphone,5.1,Broken,Recycle,31,3,10.9,5659,1
Smartphone,11.5,Good,Recycle,34,23,2.6,6084,7
Monitor,7.9,Good,Recycle,23,8,13.7,2971,4
Tablet,3.9,Fair,Refurbish,52,21,13.3,344,5
Monitor,2.0,Fair,Refurbish,34,1,2.7,6611,2
Tablet,10.2,Dead,Recycle,62,15,14.1,7124,4
Peripherals,4.7,Good,Refurbish,55,1,8.6,6284,0
Laptop,8.1,Good,Recycle,57,12,10.7,2716,4
Peripherals,5.9,Broken,Recycle,23,11,12.7,9864,3
Tablet,2.8,Excellent,Refurbish,55,16,1.7,5660,6
Laptop,7.4,Good,Recycle,38,4,3.0,7232,3
Smartphone,1.2,Fair,Refurbish,52,2,4.7,4893,0
Smartphone,5.3,Fair,Refurbish,40,23,7.4,1119,10
Monitor,6.8,Good,Recycle,29,29,5.5,2262,5
Tablet,5.5,Dead,Recycle,46,3,7.8,742,0
Tablet,9.1,Fair,Recycle,44,28,3.2,5001,7
Smartphone,10.0,Dead,Refurbish,23,4,10.4,5303,3
Peripherals,9.4,Fair,Recycle,38,25,1.3,7330,8
Laptop,0.9,Good,Refurbish,24,18,5.7,782,4
Peripherals,2.7,Good,Refurbish,60,12,3.1,96,3
Peripherals,6.7,Excellent,Recycle,58,24,11.1,8778,4
Smartphone,11.3,Fair,Refurbish,33,1,13.3,6661,0
Smartphone,10.1,Good,Recycle,22,3,1.6,4911,3
Smartphone,10.2,Fair,Recycle,32,4,11.9,2238,0
Monitor,4.0,Fair,Recycle,38,6,13.5,9108,0
Peripherals,5.4,Good,Refurbish,21,17,14.6,3349,5
Tablet,5.9,Good,Refurbish,22,8,8.9,2488,3
Laptop,2.3,Broken,Recycle,24,18,5.2,3793,3
Monitor,0.9,Dead,Refurbish,52,16,5.2,7817,4
Tablet,11.4,Good,Recycle,53,21,6.0,2837,4
Peripherals,3.3,Good,Refurbish,32,6,9.4,2386,3
Smartphone,3.3,Dead,Recycle,45,24,7.6,7396,6
Peripherals,1.5,Excellent,Recycle,19,19,10.0,1841,3
Laptop,11.2,Dead,Recycle,22,28,1.1,9394,9
Monitor,7.2,Excellent,Recycle,24,25,2.0,5366,10
Monitor,8.2,Dead,Recycle,39,28,14.7,8064,8
Laptop,11.0,Good,Recycle,48,21,14.9,4769,4
Tablet,4.5,Dead,Recycle,49,8,11.3,8921,1
Tablet,7.6,Good,Recycle,25,4,4.2,316,3
Monitor,0.9,Broken,Recycle,58,28,14.3,7453,9
Monitor,2.6,Excellent,Refurbish,59,9,3.6,75,1
Smartphone,10.1,Good,Recycle,28,8,11.1,5069,1
Tablet,9.3,Broken,Recycle,18,21,2.2,203,6
Laptop,4.5,Fair,Refurbish,64,19,9.9,7895,4
Tablet,4.8,Dead,Recycle,57,1,11.5,6567,1
Smartphone,6.6,Fair,Recycle,36,21,13.0,7460,3
Monitor,0.5,Dead,Recycle,61,21,11.1,3775,6
Monitor,3.3,Fair,Refurbish,55,4,13.9,8078,0
Smartphone,2.9,Dead,Recycle,59,10,8.1,6924,1
Laptop,3.4,Dead,Refurbish,54,26,10.3,7580,7
Monitor,9.8,Good,Recycle,24,8,5.9,5558,0
Peripherals,3.7,Dead,Recycle,56,3,0.7,4355,5
Monitor,2.7,Broken,Recycle,42,12,11.5,3051,1
Peripherals,6.3,Good,Recycle,39,26,13.1,2663,5
Smartphone,10.5,Fair,Refurbish,44,9,3.0,8623,2
Smartphone,3.3,Excellent,Refurbish,58,3,0.9,7384,3
Monitor,1.4,Broken,Recycle,64,4,2.9,3162,3
Tablet,4.6,Good,Refurbish,55,6,13.5,8389,0
Peripherals,9.1,Excellent,Recycle,56,9,4.8,5078,3
Laptop,6.8,Fair,Recycle,32,26,3.9,38,9
Monitor,9.9,Fair,Recycle,19,2,0.7,8920,0
Laptop,11.5,Dead,Recycle,25,2,4.8,3165,0
Monitor,9.6,Dead,Recycle,61,18,10.9,4779,3
Tablet,7.4,Fair,Recycle,60,21,14.4,6186,2
Tablet,6.2,Excellent,Recycle,23,22,5.0,2124,7
Tablet,1.0,Broken,Recycle,37,3,4.0,7399,3
Tablet,11.8,Fair,Recycle,44,3,13.4,4134,0
Smartphone,4.9,Fair,Refurbish,62,18,12.9,6294,0
Smartphone,2.3,Good,Refurbish,40,27,5.3,3771,7
Peripherals,8.2,Fair,Recycle,57,6,1.5,5538,1
Laptop,3.8,Good,Refurbish,34,1,14.9,3257,1
Monitor,7.2,Broken,Recycle,30,25,10.4,6461,6
Monitor,7.2,Fair,Recycle,21,15,13.9,5388,0
Smartphone,5.6,Dead,Recycle,37,11,5.5,7900,3
Monitor,10.1,Fair,Recycle,59,10,9.9,1244,3
Smartphone,3.5,Good,Recycle,42,4,10.3,657,0
Peripherals,5.7,Dead,Recycle,39,14,13.2,1699,1
Laptop,6.7,Fair,Refurbish,34,2,14.9,4456,0
Peripherals,8.1,Good,Recycle,57,13,2.1,6068,6
Tablet,9.5,Fair,Recycle,28,16,9.7,8047,4
Tablet,5.0,Fair,Refurbish,42,12,5.4,9991,7
Tablet,7.9,Broken,Recycle,22,22,12.3,5963,5
Peripherals,2.2,Fair,Refurbish,38,5,11.4,6235,0
Monitor,11.2,Broken,Recycle,43,19,13.4,4535,4
Laptop,4.9,Excellent,Refurbish,33,29,5.5,7273,8
Tablet,8.9,Fair,Recycle,57,3,3.2,1976,0
Tablet,0.7,Dead,Refurbish,38,21,0.8,7937,7
Tablet,2.9,Broken,Recycle,49,20,4.2,3669,6
Laptop,6.1,Good,Recycle,21,21,5.8,4192,6
Tablet,10.6,Good,Recycle,55,2,14.2,937,2
Laptop,6.6,Good,Recycle,25,27,7.6,5596,7
Tablet,11.2,Broken,Recycle,26,17,8.6,1289,6
Peripherals,6.1,Broken,Recycle,62,21,13.3,4670,4
Peripherals,6.1,Broken,Recycle,34,11,13.3,2150,2
Laptop,1.9,Fair,Recycle,58,1,8.2,7421,0
Peripherals,9.7,Broken,Recycle,30,19,2.1,8704,7
Laptop,3.3,Fair,Refurbish,26,8,4.4,1516,2
Peripherals,10.8,Good,Recycle,23,11,7.1,1404,5
Peripherals,11.0,Fair,Recycle,44,8,11.4,4492,2
Laptop,11.3,Dead,Recycle,59,25,10.8,6170,7
Monitor,6.5,Broken,Recycle,54,17,9.8,2353,6
Peripherals,8.3,Fair,Recycle,56,20,13.3,580,5
Tablet,9.5,Fair,Recycle,60,6,12.1,3329,2
Monitor,2.0,Dead,Recycle,41,7,14.7,8293,0
Laptop,7.4,Fair,Recycle,26,21,13.4,4550,8
Monitor,0.9,Good,Refurbish,59,13,3.3,2963,4
Smartphone,6.2,Dead,Refurbish,28,7,1.3,298,1
Smartphone,2.3,Dead,Recycle,52,11,6.5,4116,4
Peripherals,2.6,Good,Refurbish,46,10,9.5,44,4
